Time,TP,Total_Bits,Total_Packets,Packet_Sizes,Packet_Times,IPGs
226,2288.0,2288,4,"[59, 121, 53, 53]","[1654008961.938804, 1654008962.054828, 1654008962.059434, 1654008962.116055]","[8.706188, 0.116024, 0.004606, 0.056621]"
227,0.0,0,0,[],[],[]
228,0.0,0,0,[],[],[]
229,0.0,0,0,[],[],[]
230,0.0,0,0,[],[],[]
231,0.0,0,0,[],[],[]
232,0.0,0,0,[],[],[]
233,0.0,0,0,[],[],[]
234,0.0,0,0,[],[],[]
235,0.0,0,0,[],[],[]
236,0.0,0,0,[],[],[]
237,0.0,0,0,[],[],[]
238,0.0,0,0,[],[],[]
239,0.0,0,0,[],[],[]
240,0.0,0,0,[],[],[]
241,0.0,0,0,[],[],[]
242,0.0,0,0,[],[],[]
243,0.0,0,0,[],[],[]
244,0.0,0,0,[],[],[]
245,0.0,0,0,[],[],[]
246,0.0,0,0,[],[],[]
247,0.0,0,0,[],[],[]
248,0.0,0,0,[],[],[]
249,0.0,0,0,[],[],[]
250,0.0,0,0,[],[],[]
251,0.0,0,0,[],[],[]
252,0.0,0,0,[],[],[]
253,0.0,0,0,[],[],[]
254,0.0,0,0,[],[],[]
255,0.0,0,0,[],[],[]
256,30880.0,30880,8,"[1278, 1278, 650, 54, 120, 57, 370, 53]","[1654008991.994892, 1654008992.079843, 1654008992.085218, 1654008992.08533, 1654008992.159638, 1654008992.200662, 1654008992.319978, 1654008992.320455]","[29.878837, 0.084951, 0.005375, 0.000112, 0.074308, 0.041024, 0.119316, 0.000477]"
257,2464.0,2464,5,"[53, 55, 94, 53, 53]","[1654008992.385721, 1654008992.976662, 1654008993.053738, 1654008993.05391, 1654008993.114618]","[0.065266, 0.590941, 0.077076, 0.000172, 0.060708]"
258,0.0,0,0,[],[],[]
259,36320.0,36320,9,"[1278, 1278, 650, 54, 120, 57, 997, 53, 53]","[1654008994.605731, 1654008994.684799, 1654008994.689576, 1654008994.689714, 1654008994.741695, 1654008994.747427, 1654008994.85786, 1654008994.863277, 1654008994.909636]","[1.491113, 0.079068, 0.004777, 0.000138, 0.051981, 0.005732, 0.110433, 0.005417, 0.046359]"
260,0.0,0,0,[],[],[]
261,0.0,0,0,[],[],[]
262,0.0,0,0,[],[],[]
263,0.0,0,0,[],[],[]
264,0.0,0,0,[],[],[]
265,0.0,0,0,[],[],[]
266,0.0,0,0,[],[],[]
267,0.0,0,0,[],[],[]
268,0.0,0,0,[],[],[]
269,0.0,0,0,[],[],[]
270,0.0,0,0,[],[],[]
271,0.0,0,0,[],[],[]
272,0.0,0,0,[],[],[]
273,0.0,0,0,[],[],[]
274,0.0,0,0,[],[],[]
275,0.0,0,0,[],[],[]
276,0.0,0,0,[],[],[]
277,0.0,0,0,[],[],[]
278,0.0,0,0,[],[],[]
279,0.0,0,0,[],[],[]
280,0.0,0,0,[],[],[]
281,0.0,0,0,[],[],[]
282,0.0,0,0,[],[],[]
283,0.0,0,0,[],[],[]
284,0.0,0,0,[],[],[]
285,0.0,0,0,[],[],[]
286,12704.0,12704,6,"[1278, 53, 55, 96, 53, 53]","[1654009021.975418, 1654009022.001107, 1654009022.041663, 1654009022.168119, 1654009022.16865, 1654009022.233685]","[27.065782, 0.025689, 0.040556, 0.126456, 0.000531, 0.065035]"
287,0.0,0,0,[],[],[]
288,0.0,0,0,[],[],[]
289,0.0,0,0,[],[],[]
290,0.0,0,0,[],[],[]
291,0.0,0,0,[],[],[]
292,0.0,0,0,[],[],[]
293,0.0,0,0,[],[],[]
294,0.0,0,0,[],[],[]
295,0.0,0,0,[],[],[]
296,0.0,0,0,[],[],[]
297,2040.0,2040,4,"[55, 94, 53, 53]","[1654009032.95372, 1654009033.015213, 1654009033.019544, 1654009033.075196]","[10.720035, 0.061493, 0.004331, 0.055652]"
298,0.0,0,0,[],[],[]
299,0.0,0,0,[],[],[]
300,0.0,0,0,[],[],[]
301,0.0,0,0,[],[],[]
302,0.0,0,0,[],[],[]
303,0.0,0,0,[],[],[]
304,0.0,0,0,[],[],[]
305,0.0,0,0,[],[],[]
306,0.0,0,0,[],[],[]
307,0.0,0,0,[],[],[]
308,0.0,0,0,[],[],[]
309,0.0,0,0,[],[],[]
310,0.0,0,0,[],[],[]
311,0.0,0,0,[],[],[]
312,0.0,0,0,[],[],[]
313,0.0,0,0,[],[],[]
314,0.0,0,0,[],[],[]
315,0.0,0,0,[],[],[]
316,0.0,0,0,[],[],[]
317,0.0,0,0,[],[],[]
318,0.0,0,0,[],[],[]
319,0.0,0,0,[],[],[]
320,0.0,0,0,[],[],[]
321,0.0,0,0,[],[],[]
322,0.0,0,0,[],[],[]
323,3320.0,3320,4,"[55, 53, 203, 104]","[1654009059.272836, 1654009059.293654, 1654009059.331727, 1654009059.331824]","[26.19764, 0.020818, 0.038073, 9.7e-05]"
324,1775984.0,1775984,182,"[53, 1278, 1278, 650, 54, 58, 1274, 1278, 1278, 1278, 1278, 1278, 1274, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 120, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 59, 1278, 1278, 1278, 1278, 1278, 1274, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1274, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 890, 1278, 1083, 67, 1274, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 392, 54]","[1654009059.396826, 1654009059.767226, 1654009059.847759, 1654009059.859504, 1654009059.85964, 1654009059.859675, 1654009059.865269, 1654009059.865357, 1654009059.865395, 1654009059.933793, 1654009059.949849, 1654009059.956102, 1654009059.956188, 1654009059.956237, 1654009059.956283, 1654009059.956327, 1654009059.956372, 1654009059.956417, 1654009059.956462, 1654009059.956505, 1654009059.956549, 1654009059.956593, 1654009059.956637, 1654009059.956682, 1654009059.956728, 1654009059.956773, 1654009059.956817, 1654009059.956862, 1654009059.956906, 1654009059.956952, 1654009059.956999, 1654009059.957046, 1654009059.957091, 1654009059.957136, 1654009059.95718, 1654009059.957225, 1654009059.95727, 1654009059.957314, 1654009059.957359, 1654009059.957403, 1654009059.957445, 1654009059.95749, 1654009059.957534, 1654009059.957578, 1654009059.957625, 1654009059.957668, 1654009059.957714, 1654009059.957759, 1654009059.957805, 1654009059.95785, 1654009059.957898, 1654009059.957945, 1654009059.990649, 1654009060.001887, 1654009060.007605, 1654009060.007794, 1654009060.007881, 1654009060.007956, 1654009060.008028, 1654009060.008099, 1654009060.008171, 1654009060.008245, 1654009060.017089, 1654009060.027665, 1654009060.027873, 1654009060.027975, 1654009060.028065, 1654009060.028154, 1654009060.028257, 1654009060.028364, 1654009060.028455, 1654009060.033597, 1654009060.033737, 1654009060.033835, 1654009060.033926, 1654009060.034016, 1654009060.034103, 1654009060.034188, 1654009060.034493, 1654009060.034595, 1654009060.034686, 1654009060.034772, 1654009060.034861, 1654009060.039675, 1654009060.039801, 1654009060.039891, 1654009060.039978, 1654009060.040065, 1654009060.04015, 1654009060.040235, 1654009060.040321, 1654009060.040406, 1654009060.040492, 1654009060.045356, 1654009060.045462, 1654009060.045539, 1654009060.045613, 1654009060.045685, 1654009060.051513, 1654009060.051648, 1654009060.057359, 1654009060.057492, 1654009060.05754, 1654009060.057582, 1654009060.057623, 1654009060.057664, 1654009060.057705, 1654009060.057746, 1654009060.063385, 1654009060.063469, 1654009060.063512, 1654009060.069568, 1654009060.069694, 1654009060.078796, 1654009060.083665, 1654009060.083969, 1654009060.084038, 1654009060.084073, 1654009060.084108, 1654009060.08414, 1654009060.084172, 1654009060.084205, 1654009060.089827, 1654009060.095793, 1654009060.095991, 1654009060.096035, 1654009060.09607, 1654009060.096102, 1654009060.096134, 1654009060.096167, 1654009060.0962, 1654009060.096233, 1654009060.096265, 1654009060.096297, 1654009060.096328, 1654009060.096363, 1654009060.096521, 1654009060.101202, 1654009060.101294, 1654009060.10133, 1654009060.101362, 1654009060.107222, 1654009060.116703, 1654009060.121335, 1654009060.121422, 1654009060.121458, 1654009060.121491, 1654009060.121524, 1654009060.127602, 1654009060.149625, 1654009060.161163, 1654009060.167775, 1654009060.173472, 1654009060.173559, 1654009060.1736, 1654009060.18053, 1654009060.185777, 1654009060.185864, 1654009060.185899, 1654009060.185932, 1654009060.185965, 1654009060.185997, 1654009060.186029, 1654009060.18606, 1654009060.186092, 1654009060.186125, 1654009060.186158, 1654009060.191655, 1654009060.191752, 1654009060.199652, 1654009060.205547, 1654009060.205638, 1654009060.205675, 1654009060.205707, 1654009060.205739, 1654009060.20577, 1654009060.205802, 1654009060.205835, 1654009060.205866, 1654009060.205897, 1654009060.205929, 1654009060.222519]","[0.065002, 0.3704, 0.080533, 0.011745, 0.000136, 3.5e-05, 0.005594, 8.8e-05, 3.8e-05, 0.068398, 0.016056, 0.006253, 8.6e-05, 4.9e-05, 4.6e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.3e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.6e-05, 4.5e-05, 4.4e-05, 4.5e-05, 4.4e-05, 4.6e-05, 4.7e-05, 4.7e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.5e-05, 4.4e-05, 4.2e-05, 4.5e-05, 4.4e-05, 4.4e-05, 4.7e-05, 4.3e-05, 4.6e-05, 4.5e-05, 4.6e-05, 4.5e-05, 4.8e-05, 4.7e-05, 0.032704, 0.011238, 0.005718, 0.000189, 8.7e-05, 7.5e-05, 7.2e-05, 7.1e-05, 7.2e-05, 7.4e-05, 0.008844, 0.010576, 0.000208, 0.000102, 9e-05, 8.9e-05, 0.000103, 0.000107, 9.1e-05, 0.005142, 0.00014, 9.8e-05, 9.1e-05, 9e-05, 8.7e-05, 8.5e-05, 0.000305, 0.000102, 9.1e-05, 8.6e-05, 8.9e-05, 0.004814, 0.000126, 9e-05, 8.7e-05, 8.7e-05, 8.5e-05, 8.5e-05, 8.6e-05, 8.5e-05, 8.6e-05, 0.004864, 0.000106, 7.7e-05, 7.4e-05, 7.2e-05, 0.005828, 0.000135, 0.005711, 0.000133, 4.8e-05, 4.2e-05, 4.1e-05, 4.1e-05, 4.1e-05, 4.1e-05, 0.005639, 8.4e-05, 4.3e-05, 0.006056, 0.000126, 0.009102, 0.004869, 0.000304, 6.9e-05, 3.5e-05, 3.5e-05, 3.2e-05, 3.2e-05, 3.3e-05, 0.005622, 0.005966, 0.000198, 4.4e-05, 3.5e-05, 3.2e-05, 3.2e-05, 3.3e-05, 3.3e-05, 3.3e-05, 3.2e-05, 3.2e-05, 3.1e-05, 3.5e-05, 0.000158, 0.004681, 9.2e-05, 3.6e-05, 3.2e-05, 0.00586, 0.009481, 0.004632, 8.7e-05, 3.6e-05, 3.3e-05, 3.3e-05, 0.006078, 0.022023, 0.011538, 0.006612, 0.005697, 8.7e-05, 4.1e-05, 0.00693, 0.005247, 8.7e-05, 3.5e-05, 3.3e-05, 3.3e-05, 3.2e-05, 3.2e-05, 3.1e-05, 3.2e-05, 3.3e-05, 3.3e-05, 0.005497, 9.7e-05, 0.0079, 0.005895, 9.1e-05, 3.7e-05, 3.2e-05, 3.2e-05, 3.1e-05, 3.2e-05, 3.3e-05, 3.1e-05, 3.1e-05, 3.2e-05, 0.01659]"
325,293296.0,293296,40,"[1274, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 471, 1273, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1046, 54, 55, 55, 55, 56, 96, 53, 65, 53, 53, 53]","[1654009060.411173, 1654009060.411344, 1654009060.415247, 1654009060.415351, 1654009060.415388, 1654009060.423011, 1654009060.427328, 1654009060.42742, 1654009060.427456, 1654009060.42749, 1654009060.427522, 1654009060.433264, 1654009060.433351, 1654009060.433388, 1654009060.433422, 1654009060.443133, 1654009060.447385, 1654009060.447636, 1654009060.447684, 1654009060.447719, 1654009060.447751, 1654009060.447783, 1654009060.447814, 1654009060.447846, 1654009060.454614, 1654009060.459424, 1654009060.45953, 1654009060.465354, 1654009060.465443, 1654009060.490773, 1654009060.936729, 1654009061.000671, 1654009061.019926, 1654009061.031648, 1654009061.052802, 1654009061.057949, 1654009061.06329, 1654009061.0634, 1654009061.092133, 1654009061.114717]","[0.188654, 0.000171, 0.003903, 0.000104, 3.7e-05, 0.007623, 0.004317, 9.2e-05, 3.6e-05, 3.4e-05, 3.2e-05, 0.005742, 8.7e-05, 3.7e-05, 3.4e-05, 0.009711, 0.004252, 0.000251, 4.8e-05, 3.5e-05, 3.2e-05, 3.2e-05, 3.1e-05, 3.2e-05, 0.006768, 0.00481, 0.000106, 0.005824, 8.9e-05, 0.02533, 0.445956, 0.063942, 0.019255, 0.011722, 0.021154, 0.005147, 0.005341, 0.00011, 0.028733, 0.022584]"
326,0.0,0,0,[],[],[]
327,0.0,0,0,[],[],[]
328,0.0,0,0,[],[],[]
329,0.0,0,0,[],[],[]
330,0.0,0,0,[],[],[]
331,0.0,0,0,[],[],[]
332,0.0,0,0,[],[],[]
333,0.0,0,0,[],[],[]
334,0.0,0,0,[],[],[]
335,0.0,0,0,[],[],[]
336,0.0,0,0,[],[],[]
337,0.0,0,0,[],[],[]
338,0.0,0,0,[],[],[]
339,0.0,0,0,[],[],[]
340,0.0,0,0,[],[],[]
341,0.0,0,0,[],[],[]
342,0.0,0,0,[],[],[]
343,0.0,0,0,[],[],[]
344,0.0,0,0,[],[],[]
345,0.0,0,0,[],[],[]
346,0.0,0,0,[],[],[]
347,0.0,0,0,[],[],[]
348,0.0,0,0,[],[],[]
349,0.0,0,0,[],[],[]
